"Requirement ID","Status","Context","Type"
"1","approved","Data collection from sensor devices","Functional"
"2","approved","Data transmission","Functional"
"3","approved","Data consolidation","Functional"
"4","Not Specified","Data storage","Functional"
"5","Not Specified","Role and Security Management","Functional"
"6","Not Specified","Micro service platform and services","Functional"
"7","Not Specified","UI/UX","Functional"
"8","Not Specified","Availability","Non-functional"
"9","Not Specified","Reliability","Non-functional"
"10","Not Specified","Performance and elasticity","Non-functional"
"11","Not Specified","Scalability","Non-functional"
"12","Not Specified","Security","Non-functional"
